borough,neighborhood,building_class_category,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,sale_year,age
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1710,1539,1950,487500,2018-07-27T00:00:00Z,2018,68
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2090,948,1960,435000,2018-03-16T00:00:00Z,2018,58
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2090,948,1960,435000,2018-03-16T00:00:00Z,2018,58
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,1,2,2272,3468,1920,898736,2017-12-18T00:00:00Z,2017,97
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,5000,1602,1935,420000,2018-04-18T00:00:00Z,2018,83
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,8455,1872,1930,460000,2017-09-26T00:00:00Z,2017,87
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,3127,1224,1935,415000,2017-10-12T00:00:00Z,2017,82
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,3325,1612,1931,270000,2018-07-11T00:00:00Z,2018,87
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1710,1890,1955,405000,2018-04-24T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2494,1260,1950,435000,2018-05-29T00:00:00Z,2018,68
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1706,1116,1955,225000,2018-01-30T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1692,1674,1955,250000,2017-11-30T00:00:00Z,2017,62
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1692,1674,1955,468000,2018-07-11T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2755,1920,1955,165000,2018-01-31T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2487,1920,1955,390000,2017-12-11T00:00:00Z,2017,62
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2000,1322,1925,275000,2017-09-20T00:00:00Z,2017,92
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2002,855,1910,280000,2018-05-31T00:00:00Z,2018,108
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2375,1140,1901,360000,2018-04-27T00:00:00Z,2018,117
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,4750,865,1930,445000,2018-07-30T00:00:00Z,2018,88
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,3333,1123,1930,310000,2018-02-15T00:00:00Z,2018,88
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2375,2310,1935,335000,2018-08-02T00:00:00Z,2018,83
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2470,1088,1955,435000,2018-05-15T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1900,1088,1901,330000,2017-11-02T00:00:00Z,2017,116
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,3555,924,1920,248000,2018-04-19T00:00:00Z,2018,98
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,4322,1200,1940,250000,2018-02-14T00:00:00Z,2018,78
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1583,1088,1965,401000,2017-12-22T00:00:00Z,2017,52
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1706,1732,1960,430000,2017-12-22T00:00:00Z,2017,57
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,3220,960,1955,140000,2018-04-06T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1600,960,1955,150000,2018-06-20T00:00:00Z,2018,63
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2025,1280,1950,315000,2018-03-29T00:00:00Z,2018,68
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2025,1280,1950,385000,2018-06-22T00:00:00Z,2018,68
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1840,1584,1970,250000,2018-08-14T00:00:00Z,2018,48
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1952,1384,1961,2e+05,2017-12-02T00:00:00Z,2017,56
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1952,1384,1961,250000,2018-04-06T00:00:00Z,2018,57
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2390,1840,1931,570000,2017-12-26T00:00:00Z,2017,86
